"icd_code","long_title"
"22802  ","Hemangioma of intracranial structures"
"325    ","Phlebitis and thrombophlebitis of intracranial venous sinuses"
"326    ","Late effects of intracranial abscess or pyogenic infection"
"3482   ","Benign intracranial hypertension"
"37701  ","Papilledema associated with increased intracranial pressure"
"4329   ","Unspecified intracranial hemorrhage"
"4376   ","Nonpyogenic thrombosis of intracranial venous sinus"
"4560   ","Esophageal varices with bleeding"
"4561   ","Esophageal varices without mention of bleeding"
"45620  ","Esophageal varices in diseases classified elsewhere, with bleeding"
"45621  ","Esophageal varices in diseases classified elsewhere, without mention of bleeding"
"53020  ","Ulcer of esophagus without bleeding"
"53021  ","Ulcer of esophagus with bleeding"
"6263   ","Puberty bleeding"
"6265   ","Ovulation bleeding"
"6267   ","Postcoital bleeding"
"6271   ","Postmenopausal bleeding"
"80000  ","Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness"
"80001  ","Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness"
"80002  ","Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80003  ","Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80004  ","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80005  ","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80006  ","Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80009  ","Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified"
"80030  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80031  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80032  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80033  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80034  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80035  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80036  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80039  ","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80040  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80041  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80042  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80043  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80044  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80045  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80046  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80049  ","Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80050  ","Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness"
"80051  ","Open fracture of vault of skull without mention of intracranial injury, with no loss of consciousness"
"80052  ","Open fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80053  ","Open fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80054  ","Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80055  ","Open fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80056  ","Open fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80059  ","Open fracture of vault of skull without mention of intracranial injury, with concussion, unspecified"
"80080  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80081  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80082  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80083  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80084  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80085  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80086  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80089  ","Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80090  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80091  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80092  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80093  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80094  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80095  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80096  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80099  ","Open fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80130  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80131  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80132  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80133  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80134  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80135  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80136  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80139  ","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80140  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80141  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80142  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80143  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80144  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours) loss of consciousness and return to pre-existing conscious level"
"80145  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80146  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80149  ","Closed fracture of base of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80150  ","Open fracture of base of skull without mention of intracranial injury, unspecified state of consciousness"
"80151  ","Open fracture of base of skull without mention of intracranial injury, with no loss of consciousness"
"80152  ","Open fracture of base of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80153  ","Open fracture of base of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
